"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","wdsp","visib","sndp","fog","NUM_CRIMES"
"216",0,1,0,0,0,0,0,0,0,0,0,0,2011,69.6,56.4,5.3,10,999.9,0,0.652991452991453
"217",0,1,0,0,0,0,0,0,0,0,0,0,2011,77.1,63.3,4.4,9.5,999.9,0,0.716239316239316
"218",0,1,0,0,0,0,0,0,0,0,0,0,2011,74.9,59.3,5.5,10,999.9,0,0.647863247863248
"219",0,1,0,0,0,0,0,0,0,0,0,0,2011,71.6,58.2,3.3,10,999.9,0,0.678632478632479
"220",0,1,0,0,0,0,0,0,0,0,0,0,2011,77.1,67,4.7,9.9,999.9,0,0.842735042735043
"221",0,1,0,0,0,0,0,0,0,0,0,0,2011,76.6,60.3,5,10,999.9,0,0.882051282051282
"222",0,1,0,0,0,0,0,0,0,0,0,0,2011,78.5,70.6,4.1,7.7,999.9,0,0.776068376068376
"223",0,1,0,0,0,0,0,0,0,0,0,0,2011,75.9,65.4,6.5,10,999.9,0,0.842735042735043
"224",0,1,0,0,0,0,0,0,0,0,0,0,2011,71,54.9,7.9,10,999.9,0,0.622222222222222
"225",0,1,0,0,0,0,0,0,0,0,0,0,2011,73.8,57,7.5,10,999.9,0,0.748717948717949
"226",0,1,0,0,0,0,0,0,0,0,0,0,2011,73.8,60.9,6.1,8.8,999.9,0,0.605128205128205
"227",0,1,0,0,0,0,0,0,0,0,0,0,2011,75.3,61,7.5,9.9,999.9,0,0.726495726495726
"228",0,1,0,0,0,0,0,0,0,0,0,0,2011,73.3,56,6.6,10,999.9,0,0.815384615384615
"229",0,1,0,0,0,0,0,0,0,0,0,0,2011,70.5,54.8,8.9,10,999.9,0,0.61025641025641
"230",0,1,0,0,0,0,0,0,0,0,0,0,2011,74.3,67.7,3.8,9.4,999.9,0,0.463247863247863
"231",0,1,0,0,0,0,0,0,0,0,0,0,2011,85.7,72.5,6.8,9.1,999.9,0,0.630769230769231
"232",0,1,0,0,0,0,0,0,0,0,0,0,2011,74.6,63.4,6.4,10,999.9,0,0.678632478632479
"233",0,1,0,0,0,0,0,0,0,0,0,0,2011,69.9,62,6.8,9.6,999.9,0,0.576068376068376
