day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
2,2011,08,02,2011-08-02,82.9,9999.9,9999.9,999.9,11.8,28.9,999.9,87.8,79.2,0.0,999.9,0,1022
3,2011,08,03,2011-08-03,75.6,9999.9,9999.9,999.9,13.5,22.0,999.9,88.9,72.1,0.0,999.9,0,1126
3,2011,08,03,2011-08-03,80.7,68.7,1006.7,9.7,8.6,20.0,49.0,90.0,73.4,0.28,999.9,0,1126
4,2011,08,04,2011-08-04,75.9,65.4,1012.8,10.0,6.5,11.1,15.9,82.0,69.1,0.0,999.9,0,1146
4,2011,08,04,2011-08-04,73.7,9999.9,9999.9,999.9,9.4,13.0,999.9,75.9,72.3,0.0,999.9,0,1146
5,2011,08,05,2011-08-05,74.2,9999.9,9999.9,999.9,6.7,12.0,999.9,75.4,73.2,0.0,999.9,0,1146
5,2011,08,05,2011-08-05,77.1,67.0,1013.5,9.9,4.7,9.9,999.9,84.0,70.0,0.0,999.9,0,1146
6,2011,08,06,2011-08-06,78.5,70.6,1009.7,7.7,4.1,11.1,19.0,84.9,73.0,0.65,999.9,0,1107
6,2011,08,06,2011-08-06,75.3,9999.9,9999.9,999.9,7.0,13.0,999.9,76.8,72.5,0.0,999.9,0,1107
7,2011,08,07,2011-08-07,76.9,9999.9,9999.9,999.9,8.0,21.0,999.9,85.1,71.4,0.0,999.9,0,929
7,2011,08,07,2011-08-07,77.7,68.4,1006.9,9.0,4.9,15.9,24.1,86.0,69.8,0.69,999.9,0,929
1,2011,08,08,2011-08-08,74.3,67.7,1006.6,9.4,3.8,14.0,999.9,80.1,69.1,0.49,999.9,0,924
1,2011,08,08,2011-08-08,73.5,9999.9,9999.9,999.9,8.1,11.1,999.9,75.2,71.4,0.0,999.9,0,924
2,2011,08,09,2011-08-09,72.6,9999.9,9999.9,999.9,13.9,26.0,999.9,78.3,68.0,0.0,999.9,0,997
2,2011,08,09,2011-08-09,72.9,63.7,1003.7,8.0,9.8,18.1,28.0,82.0,66.0,0.29,999.9,0,997
3,2011,08,10,2011-08-10,69.8,9999.9,9999.9,999.9,13.3,20.0,999.9,77.0,64.2,0.0,999.9,0,1017
3,2011,08,10,2011-08-10,71.0,54.9,1008.3,10.0,7.9,11.1,17.1,78.1,62.1,0.01,999.9,0,1017
4,2011,08,11,2011-08-11,71.3,52.9,1013.4,10.0,3.6,8.9,999.9,81.0,60.1,0.0,999.9,0,1053
4,2011,08,11,2011-08-11,70.5,9999.9,9999.9,999.9,7.4,13.0,999.9,74.3,66.9,0.0,999.9,0,1053
5,2011,08,12,2011-08-12,73.3,56.0,1014.2,10.0,6.6,13.0,19.0,82.0,64.9,0.0,999.9,0,1130
5,2011,08,12,2011-08-12,73.6,9999.9,9999.9,999.9,12.0,16.9,999.9,78.3,68.9,0.0,999.9,0,1130
6,2011,08,13,2011-08-13,73.7,61.7,1010.8,9.6,7.2,22.0,39.0,84.0,66.9,0.0,999.9,0,1038
6,2011,08,13,2011-08-13,74.1,9999.9,9999.9,999.9,11.9,20.0,999.9,80.6,68.7,0.0,999.9,0,1038
7,2011,08,14,2011-08-14,68.1,61.8,1012.4,9.7,11.0,19.0,24.1,75.0,64.0,0.93,999.9,0,972
7,2011,08,14,2011-08-14,69.0,9999.9,9999.9,999.9,22.3,31.9,999.9,70.9,66.9,0.0,999.9,0,972
1,2011,08,15,2011-08-15,69.6,56.4,1014.8,10.0,5.3,9.9,999.9,80.1,59.0,0.01,999.9,0,1035
1,2011,08,15,2011-08-15,68.9,9999.9,9999.9,999.9,10.4,20.0,999.9,73.0,65.5,0.0,999.9,0,1035
2,2011,08,16,2011-08-16,73.1,9999.9,9999.9,999.9,6.2,13.0,999.9,78.3,69.6,0.0,999.9,0,953
2,2011,08,16,2011-08-16,73.6,55.1,1015.9,10.0,2.1,8.0,14.0,82.9,63.0,0.0,999.9,0,953
3,2011,08,17,2011-08-17,74.9,59.3,1016.8,10.0,5.5,9.9,14.0,82.9,64.9,0.0,999.9,0,1032
3,2011,08,17,2011-08-17,74.8,9999.9,9999.9,999.9,9.7,14.0,999.9,80.6,71.1,0.0,999.9,0,1032
4,2011,08,18,2011-08-18,74.9,9999.9,9999.9,999.9,8.4,13.0,999.9,81.1,72.0,0.0,999.9,0,1072
4,2011,08,18,2011-08-18,77.1,63.3,1014.3,9.5,4.4,9.9,999.9,84.9,71.1,0.0,999.9,0,1072
5,2011,08,19,2011-08-19,76.6,60.3,1011.6,10.0,5.0,11.1,999.9,86.0,66.9,0.0,999.9,0,1169
5,2011,08,19,2011-08-19,73.5,9999.9,9999.9,999.9,6.7,11.1,999.9,76.3,72.0,0.0,999.9,0,1169
6,2011,08,20,2011-08-20,74.2,9999.9,9999.9,999.9,8.0,15.0,999.9,78.3,66.4,0.0,999.9,0,1083
6,2011,08,20,2011-08-20,75.4,66.6,1011.9,9.5,4.2,15.9,27.0,84.0,68.0,0.0,999.9,0,1083
