"","temp","year"
"2414",75.2,2013
"2417",73.1,2013
"2445",72.7,2013
"2466",72.3,2013
"2472",76.1,2013
"2477",68.8,2013
"2478",72.5,2013
"2491",73.7,2013
"2500",68.2,2013
"2504",74,2013
"2515",78.2,2013
"2518",65,2013
"2542",73,2013
"2545",80.6,2013
"2557",74.6,2013
"2570",71.4,2013
"2572",79.3,2013
"2573",74.6,2013
"2577",78.6,2013
"2581",70.5,2013
"2602",68.4,2013
"2606",80.4,2013
"2607",80.4,2013
"2609",72.8,2013
"2647",84.9,2013
"2655",74.3,2013
"2676",81.2,2013
"2712",61.5,2013
"2713",61.2,2013
"2714",65.3,2013
"2716",71.3,2013
"2720",58.6,2013
"2736",63.4,2013
"2755",57.2,2013
"2756",75.4,2013
"2759",70.3,2013
"2784",67.3,2013
"2804",60.6,2013
"2809",60.7,2013
"2815",67.9,2013
"2825",61.1,2013
"2837",72.2,2013
"2853",79.3,2013
"2854",83,2013
"2855",75.4,2013
"2862",72.9,2013
"2864",77,2013
"2873",60.9,2013
"2886",65.8,2013
"2893",71.6,2013
"2907",60.3,2013
"2915",62.2,2013
"2932",70.2,2013
"2961",73.1,2013
"2969",87.2,2013
"2973",69,2013
"2991",75.8,2013
"3047",60.8,2013
"3058",56.5,2013
"3061",62.4,2013
"3070",62.2,2013
"3078",37,2013
"3087",65.1,2013
"3092",53.2,2013
"3118",70.5,2013
"3124",70.8,2013
"3132",48.4,2013
"3152",39.7,2013
"3157",58.7,2013
"3163",53.7,2013
"3172",60,2013
"3177",54.8,2013
"3182",47.9,2013
"3191",52.4,2013
"3193",66.2,2013
"3195",38.5,2013
"3197",43.6,2013
"3200",69.3,2013
"3201",46.1,2013
"3204",71.7,2013
"3206",50.4,2013
"3213",50.2,2013
"3220",45.7,2013
"3248",39.8,2013
"3258",62,2013
"3269",47.6,2013
"3284",50.2,2013
"3290",68.5,2013
"3417",34,2013
"3427",45.5,2013
"3437",43.6,2013
"3441",26.9,2013
"3455",37.9,2013
"3466",38,2013
"3467",44,2013
"3489",38.4,2013
"3502",53.5,2013
"3508",43.5,2013
"3509",37.6,2013
"3514",31.6,2013
"3531",40.6,2013
"3549",26.3,2013
"3579",42.3,2013
"3581",28.7,2013
"3582",28.4,2013
"3586",18.6,2013
"3612",38.4,2013
"3616",49,2013
"3625",21.5,2013
"3626",49,2013
"3627",52.4,2013
"3642",50.5,2013
"3643",43.4,2013
"3651",25.8,2013
"3658",47.7,2013
"3671",41.9,2013
"3676",60.7,2013
"3736",15.3,2013
