"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","NUM_CRIMES"
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2011,58,999.9,0.547008547008547
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,75.1,999.9,0.723076923076923
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,63.7,999.9,0.658119658119658
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,76.3,999.9,0.601709401709402
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,50.9,999.9,0.726495726495726
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2011,49,999.9,0.647863247863248
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2011,56.9,999.9,0.700854700854701
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2011,66.6,999.9,0.890598290598291
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,81.1,999.9,0.748717948717949
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,61.7,999.9,0.690598290598291
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,49.7,999.9,0.661538461538462
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,45.8,999.9,0.54017094017094
"142",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2011,48.2,999.9,0.471794871794872
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011,60.9,999.9,0.84957264957265
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,72.3,999.9,0.683760683760684
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011,73.2,999.9,0.618803418803419
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011,45.5,999.9,0.452991452991453
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,46.7,999.9,0.505982905982906
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,73.5,999.9,0.67008547008547
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,74,999.9,0.676923076923077
"150",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,69.9,999.9,0.786324786324786
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,72.7,999.9,0.647863247863248
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,72.9,999.9,0.776068376068376
"153",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,59.3,999.9,0.627350427350427
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,75.9,999.9,0.651282051282051
"155",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,72.2,999.9,0.692307692307692
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2011,62.6,999.9,0.685470085470085
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2011,73.4,999.9,0.728205128205128
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2011,73.8,999.9,0.892307692307692
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2011,58.1,999.9,0.846153846153846
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,72,999.9,0.758974358974359
